name,description,domain,last_month_stars,this_month_stars,stars_m_m_growth,last_month_multiple
side8 pipeline,AWS CloudFormation CI/CD,,63,69,6,1.1
Screenshotbot,Get notified when screenshots of your app changes,,56,64,8,1.1
FlowUI,Builds and runs mobile UI Automation non-flaky tests. Specially designed for QA,,292,314,22,1.1
Code search by Quod AI,Find the code you need faster,quod.ai,313,332,19,1.1
kodiak,automate your pull request workflow,,1200,1300,100,1.1
Dpulls,Mark a pull request as depending on another,www.dpulls.com,158,173,15,1.1
Slack + GitHub,Connect your code without leaving Slack,github.com,282000,313000,31000,1.1
PR Chat,Monitor and discuss your Pull Requests right within Slack,pr.chat,111,118,7,1.1
Run RSpec commands,"Each time that new code is pushed into your repo, you can have a RSpec command automatically run",,35,39,4,1.1
A Byte of Coding,A Byte of Coding is a daily programming newsletter that is manually curated,,87,100,13,1.1
Simplab Integration,GitHub App for integration with Simplab infrastructure,,20,23,3,1.1
Lazy Hand,"A complete developer friendly, fully functional sidekick for all your frequent pull request management actions",,32,35,3,1.1
The CTRL Bot,"A general-purpose GitHub Bot, working around *your* scripts",,80,87,7,1.1
Maintainability Pal,Your everyday maintainability assistant that performs automated code reviews on each commit,cyclopt.com,113,120,7,1.1
Pull Dog,Automatic Docker Compose based test environments for your pull requests,,112,119,7,1.1
Performance Testing Bot,Easy to use and configure API performance testing application,,190,208,18,1.1
Review Dino,PR reviews reminder for teams,,31,34,3,1.1
scanoss.app,SCANOSS detects undeclared OSS components in your commits,scanoss.co.uk,72,77,5,1.1
tipit bot,tipit bot for Github. Tip people and reward developers with bounty pools,,69,74,5,1.1
ZeoBot,A Probot App that automates your repositories,,56,60,4,1.1
StarryCake,A Multiple-feature-combined GitHub Bot Application,,30,33,3,1.1
DevReplay,Replay your code development by your own rules,,56,59,3,1.1
Review Notebook App,Code Review and Collaboration for Jupyter Notebooks,reviewnb.com,9100,10400,1300,1.1
PR Label Enforcer,"If config file provided, this app prevents PRs from getting merged if it doesn't contain certain labels",,69,76,7,1.1
PR Trophies,Awards PRs with trophies,,41,47,6,1.1
Kiwi TCMS,Open source test management system with over 2M downloads,mrsenko.com,596,638,42,1.1
Localazy,Manage your i18n and localization needs from one place with Localazy ®,localazy.com,2900,3300,400,1.1
Meeshkan,"Meeshkan automatically writes, executes, and reports on a collection of tests to squash bugs and improve your code",,62,68,6,1.1
ocaml-benchmarks,Benchmarking for Ocaml projects,,43,47,4,1.1
Blogcop,Manage the outdated articles from your Jekyll blog,ombulabs.com,45,49,4,1.1
Creating GitHub branches from Jira,Create and view GitHub branches directly from a Jira issue,,3100,3300,200,1.1
Quantify,Use commits mapped to Atlassian Jira projects as additional metadata source for the Quantify,www.quantifyhq.com,153,174,21,1.1
quine-bot,Understand the experience of the contributors that submit PRs to your repos,quine.sh,37,42,5,1.1
jile-github,Connect GitHub with Jile,,49,52,3,1.1
Zoho Sprints,Agile project management tool for Scrum teams,,354,379,25,1.1
SuperShields,Smart SVG status icons for your public or private Github repo,oddparity.net,51,55,4,1.1
Paul The Alien,Paul is a Github Bot that helps with your Git workflows,,37,41,4,1.1
Bugfender app,Log storage for your applications,bugfender.com,222,250,28,1.1
Docamatic PDF API,Generate PDFs and images from HTML or templates,,70,79,9,1.1
axe Linter,"Powered by Deque Systems, helps you automatically find and fix accessibility issues",www.deque.com,538,572,34,1.1
gitpod.io,"Always ready to code -  Spin up fresh cloud development environments for each task, fully automated, in seconds",gitpod.io,68200,72800,4600,1.1
inspektre,Application Security Posture Management,inspektre.io,28,32,4,1.1
Polymer DLP for GitHub,"Polymer automatically detects and protects secrets, credentials, PII, and other sensitive data in GitHub repos",,73,82,9,1.1
Clemsbot App,A GitHub Assistant bot,,61,70,9,1.1
Visual Source,Source Code History Visualization,squidcode.com,1700,1900,200,1.1
Task list completed,PR check to make sure all tasklists / tick boxes are checked in the PR body,,1200,1300,100,1.1
DeployWizard,Create preview URLs for your Pull Requests with DeployWizard,,72,81,9,1.1
watchman-pypi,"A bot, which continuously monitors dependency conflicts for millions of Python libraries in PyPI ecosystem",,179,188,9,1.1
Bitrise Checks,Bitrise Checks brings Bitrise's mobile CICD into GitHub: Kick off workflows and see build results right there,bitrise.io,3900,4200,300,1.1
Cirrus CI,Enjoy unlimited concurrency for fast and secure development cycle,cirrus-ci.org,5600,6000,400,1.1
Crafter Marketplace,List your CrafterCMS Extensions on the Crafter Marketplace,craftercms.org,168,178,10,1.1
Licensebat,Effortless dependency compliance with your license policies,licensebat.com,606,655,49,1.1
Repography,"Create graphical dashboards for your README.md, and beautiful data visualization posters for your wall",repography.com,1400,1500,100,1.1
ReportBugz,Get issues reported by team members from ReportBugz to GitHub Issues,,86,91,5,1.1
XRPL Bot,XRPL ledger transaction explanations,,94,107,13,1.1
TIL: Today I Learned,Today I Learned helps you document things you learn everyday (requires browser extension),,382,419,37,1.1
iacbot,"Identify and fix IaC problems in your PRs (Terraform, CloudFormation Kubernetes, and Helm)",lacework.com,466,531,65,1.1
ApproveMan,Automatic pull request approval for changes in safe locations,,60,63,3,1.1
Board Genius Sync,"Sync Github issues to Trello, Jira, Gitlab, Asana and more",boardgenius.io,336,365,29,1.1
GoodDay Work,GoodDay is a modern work management and productivity platform,,312,344,32,1.1
Decentralized Internet,An NPM library of programs to create decentralized web and distributed computing projects,,753,801,48,1.1
Bright Security,Bright is a powerful dynamic App and API security testing (DAST) platform that security teams trust and developers love,www.neuralegion.com,458,482,24,1.1
Quotti,Kepp yourself motivated for the next commit,,81,87,6,1.1
Issue Embed,Collect bugs and feedback directly from your website's visitors straight into your repository's Github Issues,www.issueembed.dev,121,133,12,1.1
Test KC,Test,,33,37,4,1.1
Restyled.io,Restyle Pull Requests as they're opened,restyled.io,3400,3800,400,1.1
Ensure Single Commit,Rebasing is important to This is just a small checker on PRs to ensure we have single commit per PR,,76,87,11,1.1
docker-lock-bot,Dependabot for Dockerfiles and docker-compose files' image digests,,96,106,10,1.1
Merge Freeze,The code freeze tool to block merging and deployments,mergefreeze.com,1300,1400,100,1.1
Uffizzi Cloud,Make everyday a release day.  5x your release frequency with ephemeral preview environments for every PR,uffizzi.com,1900,2100,200,1.1
Bridgecrew,"Find and fix security and compliance issues in Terraform, AWS Cloudformation, ARM templates, Kubernetes, and more",bridgecrew.io,4800,5100,300,1.1
Contour Documentation,Contour makes it easy for developers to write documentation that always stays up to date,,87,96,9,1.1
GuardRails,GuardRails provides continuous security feedback for modern development teams,guardrails.io,2900,3100,200,1.1
JellyBeanBot,An app that scans your repo for jellybean.yml files and syncs the details with your Jelly Bean Jar account,,19,21,2,1.1
Trakr,Cloud-based visual testing platform for website and web-apps,,298,316,18,1.1
Releasy Semantic,Releasy - Semantic versioning of your software easily,releasy.work,54,61,7,1.1
FeatureNinjas,The only app to serve feature flags from your GitHub repositories,,39,44,5,1.1
Sticky Scanner,This app extracts text from sticky images and registers it as issues on GitHub,,28,31,3,1.1
Dart Email validator,A simple (but correct) Dart class for validating email addresses without using RegEx. Can also be used to validate emails wit,,101,111,10,1.1
Persona Features bot,bot to keep track of the features in a csv file,,31,34,3,1.1
SourceSpy,Automatically creates documentation for your project,,122,130,8,1.1
Apollo Studio,"A cloud platform that helps you build, collaborate on, validate, and secure your organization's GraphQL API",www.apollographql.com,1100,1200,100,1.1
abaplint,ABAP quality assurance and static analysis,heliconialabs.com,356,404,48,1.1
GitPermit,Git read permissions for subfolders,,69,78,9,1.1
PeerGraph,Simplest way to run peer feedback in your organization,peergraph.dev,42,46,4,1.1
Testspace.com,"Test Management software for DevOps, including CI Results Dashboard, Manual Test Case Management, and Exploratory testing",www.s2technologies.com,889,982,93,1.1
cla-bot  - CLA automation,"cla-bot is a bot that automates Contributor Licence Agreements (CLAs), automatically checking every commit and PR",,491,547,56,1.1
CommitCheck,CommitCheck ensures your commit messages are consistent and contain all required information,commitcheck.com,1100,1200,100,1.1
Flaptastic,Manage flaky unit tests. Click a checkbox to instantly disable any test on all branches. Works with your current test suite,,65,70,5,1.1
StarChart Labs | Chronicler,Enforce change log updates in pull requests,starchartlabs.org,117,129,12,1.1
Gitinerary,Tracks your team progress by using Git history,gitinerary.com,93,102,9,1.1
Private Dependency Graph,Resolves dependencies/dependents in your GitHub organization,conformal.link,105,118,13,1.1
DeepSource,The Code Health platform - Everything you need to build maintainable and secure software,deepsource.io,35700,40700,5000,1.1
Honeybadger.io,The web developer's secret weapon,www.honeybadger.io,966,1100,134,1.1
Open Collective Bot,A perfect companion for your Open Collective,opencollective.com,143,154,11,1.1
Slash Command,Slash Commands for GitHub,,73,80,7,1.1
GitHint Bot,GitHint ensures that your pull requests follow specified conventions,,115,122,7,1.1
tickgit,tickgit helps you manage TODO items in your codebase,tickgit.com,45,48,3,1.1
Ally,Never miss team health updates and progress,moveworkforward.com,41,45,4,1.1
Monte Carlo Data,Data reliability. Delivered,montecarlodata.com,63,67,4,1.1
Pull Request Badge,Pull Request Badge lets you programatically insert badges in your pull request descriptions and then link them to anything,pullrequestbadge.com,454,499,45,1.1
